CustomerCode,Recency,Frequency,Monetary,Recency_rank_norm,Frequency_rank_norm,Monetary_rank_norm,RFM_Score,Customer_segment
120-0000,2,1357,1383967.37,4.0885698808234014,5.0,5.0,4.696189960274467,Top Customers
120-0001,0,1455,761305.89,5.0,5.0,4.810287751464222,4.936762583821407,Top Customers
120-0002,8,498,1003600.85,3.2516251354279526,4.591383812010444,5.0,4.281002982479466,Top Customers
120-0005,21,67,99969.71,2.5257313109425787,2.6723237597911225,2.8800611153552333,2.692705395362978,Medium Value Customers
120-0011,53,9,8321.34,1.7822318526543879,1.0300261096605743,0.7843137254901963,1.198857229268386,Low Value Customers
120-0012,10,79,117082.45,3.070151679306609,2.881201044386423,3.0735930735930737,3.0083152657620347,High Value Customers
120-0019,2,274,323651.43,4.0885698808234014,4.142297650130548,4.188948306595366,4.139938612516438,Top Customers
120-0024,2,1132,733688.58,4.0885698808234014,5.0,4.779730073847721,4.622766651557041,Top Customers
120-0026,30,19,18086.3,2.2034127843987,1.590078328981723,1.2987012987012987,1.697397470693907,Low Value Customers
120-0027,0,20,14342.380000000001,5.0,1.6305483028720624,1.1077158135981666,2.579421372156743,Medium Value Customers
120-0031,182,729,744215.52,0.9019501625135429,4.826370757180157,4.7899159663865545,3.506078962026751,High Value Customers
120-0032,0,732,1186713.93,5.0,4.835509138381202,5.0,4.945169712793733,Top Customers
120-0033,15,171,111155.31999999999,2.787107258938245,3.66710182767624,3.009931245225363,3.1547134439466156,High Value Customers
120-0036,1,280,367729.08,4.4555796316359695,4.163185378590078,4.303539597657244,4.30743486929443,Top Customers
120-0040,10,188,107498.01,3.070151679306609,3.778067885117493,2.969187675070028,3.2724690798313762,High Value Customers
120-0041,12,484,548818.2,2.9672264355362947,4.5626631853785895,4.634581105169341,4.054823575361408,Top Customers
120-0044,0,699,684400.04,5.0,4.802872062663186,4.74917239623122,4.850681486298135,Top Customers
120-0047,22,58,107041.38,2.4851029252437704,2.5561357702349867,2.951362363127069,2.6642003528686087,Medium Value Customers
120-0049,2,157,173815.9,4.0885698808234014,3.5704960835509136,3.552330022918258,3.737131995764191,High Value Customers
120-0050,27,23,169534.58,2.3266522210184184,1.7597911227154046,3.511586452762924,2.532676598832249,Medium Value Customers
120-0051,10,241,275435.53,3.070151679306609,4.015665796344647,4.071810542398778,3.719209339350011,High Value Customers
120-0053,153,2,978.32,1.067172264355363,0.2245430809399477,0.12987012987012994,0.47386182505514685,Lost Customers
120-0056,0,1266,962867.33,5.0,5.0,5.0,5.0,Top Customers
120-0081,386,1,583.58,0.0,0.0,0.06366182836771066,0.021220609455903552,Lost Customers
120-0086,29,37,61355.25,2.2494582881906826,2.1475195822454305,2.3376623376623376,2.24488006936615,Medium Value Customers
120-0093,4,88,43422.37,3.698537378114843,3.003916449086162,2.0040743570155337,2.9021760614055125,Medium Value Customers
120-0100,62,25,32759.18,1.6765980498374866,1.8133159268929502,1.7494270435446906,1.7464470067583755,Low Value Customers
120-0104,15,84,41050.01,2.787107258938245,2.9347258485639687,1.9582378405907817,2.5600236493643314,Medium Value Customers
120-0119,0,1709,974557.02,5.0,5.0,5.0,5.0,Top Customers
120-0120,401,1,154.13,0.0,0.0,0.012732365673542197,0.004244121891180732,Lost Customers
120-0123,323,23,8980.06,0.2708559046587216,1.7597911227154046,0.84288260758849,0.9578432116542055,Lost Customers
120-0128,17,246,168061.02,2.6476164680390033,4.0365535248041775,3.498854087089381,3.3943413599775205,High Value Customers
120-0129,45,3,8250.44,1.898699891657638,0.3955613577023496,0.7792207792207794,1.0244940095269224,Low Value Customers
120-0132,22,125,209170.68,2.4851029252437704,3.3394255874673626,3.750954927425516,3.1918278133788824,High Value Customers
120-0141,7,67,86665.71,3.3816359696641385,2.6723237597911225,2.691622103386809,2.9151939442806896,Medium Value Customers
120-0166,9,36,560190.02,3.1595341278439872,2.1096605744125325,4.649859943977591,3.3063515487447033,High Value Customers
120-0168,24,49,89342.93,2.3848862405200433,2.415143603133159,2.7400050929462694,2.5133449788664906,Medium Value Customers
120-0177,7,402,115788.92,3.3816359696641385,4.4425587467362915,3.053221288515406,3.625805334971945,High Value Customers
120-0183,17,89,155522.17,2.6476164680390033,3.016971279373368,3.409727527374586,3.024771758262319,High Value Customers
120-0186,1,266,275016.72,4.4555796316359695,4.101827676240209,4.066717596129361,4.208041634668513,Top Customers
120-0205,16,314,165059.81,2.718039003250271,4.25065274151436,3.4759358288770055,3.4815425245472116,High Value Customers
120-0221,6,457,485217.12,3.5387323943661975,4.528720626631854,4.542908072319837,4.203453697772629,Top Customers
120-0225,0,1497,1093911.31,5.0,5.0,5.0,5.0,Top Customers
120-0226,29,55,64594.46,2.2494582881906826,2.519582245430809,2.401324166030048,2.3901215665505133,Medium Value Customers
120-0245,0,326,222224.66,5.0,4.283289817232376,3.8069773363891013,4.363422384540492,Top Customers
120-0260,216,732,566798.48,0.7272481040086676,4.835509138381202,4.654952890247007,3.4059033775456253,High Value Customers
120-0271,9,232,425414.11,3.1595341278439872,3.9699738903394253,4.40794499618029,3.8458176714545673,High Value Customers
120-0276,39,31,39441.63,2.007042253521127,1.9869451697127936,1.9149477973007385,1.969645073511553,Low Value Customers
120-0280,1,282,321126.36,4.4555796316359695,4.16579634464752,4.168576521517698,4.263317499267062,Top Customers
120-0288,308,3,6409.98,0.3236728060671724,0.3955613577023496,0.6773618538324421,0.46553200586732135,Lost Customers
120-0292,2,228,251722.02,4.0885698808234014,3.9451697127937333,3.9750445632798574,4.002928052298998,Top Customers
120-0316,1,158,168764.31,4.4555796316359695,3.5809399477806787,3.509039979628215,3.8485198530149543,High Value Customers
